target_address	target_name	field	store_address	store_function	field_use_address	field_use_function	icall_address	icall_text	context	kind
800328d0	iter_log_appender_clear	gs_log_appender_iterate.arg3	80032990	gs_log_cmd_log_appender_clear_handler		gs_log_appender_iterate	800332ba	ICALL R2	uVar1 = (*(code *)PTR_gs_log_appender_iterate_800329b4) (*(undefined4 *)(*(int *)(param_1 + 0xc) + 4),aiStack_24, PTR_iter_log_appender_clear_800329b0); | (*param_3)(param_2,*piVar2);	callback_arg_to_icall
800328f2	iter_log_group_find	gs_log_group_iterate.arg3	80032930	gs_log_cmd_log_group_insert_handler		gs_log_group_iterate	8003339a	ICALL R2	uVar1 = (*(code *)PTR_gs_log_group_iterate_80032968) (*(undefined4 *)(*(int *)(param_1 + 0xc) + 4),&local_18, PTR_iter_log_group_find_80032964); | (*param_3)(param_2,*piVar2);	callback_arg_to_icall
80032a24	appender_history_iter									no_usage_chain_found
80032b34	gs_log_cmd_log_appender_clear_completer									no_usage_chain_found
80032b40	gs_log_cmd_log_appender_hist_completer									no_usage_chain_found
80032b4c	gs_log_cmd_log_appender_mask_completer									no_usage_chain_found
80032b58	gs_log_cmd_log_appender_list_completer									no_usage_chain_found
80032c50	gs_log_cmd_debug_completer									no_usage_chain_found
80032c5c	gs_log_cmd_log_group_insert_completer									no_usage_chain_found
80032c68	gs_log_cmd_log_group_mask_completer									no_usage_chain_found
80032c74	gs_log_cmd_log_group_list_completer									no_usage_chain_found
80032df8	iter_log_appender_completer	gs_log_appender_iterate.arg3	80032b0e	cmd_log_appender_completer		gs_log_appender_iterate	800332ba	ICALL R2	(*(code *)PTR_gs_log_appender_iterate_80032b30) (auStack_58,auStack_28,PTR_iter_log_appender_completer_80032b2c); | (*param_3)(param_2,*piVar2);	callback_arg_to_icall
80032f4c	iter_log_completer	gs_log_group_iterate.arg3	80032c2a	cmd_log_group_completer		gs_log_group_iterate	8003339a	ICALL R2	(*(code *)PTR_gs_log_group_iterate_80032c4c) (auStack_58,auStack_28,PTR_iter_log_completer_80032c48); | (*param_3)(param_2,*piVar2);	callback_arg_to_icall
80032f94	iter_print_group_appenders	gs_log_group_appender_iterate.arg3	80032e7a	iter_print_group		gs_log_group_appender_iterate	80033110	ICALL R5	(*(code *)PTR_gs_log_group_appender_iterate_80032f20) (param_2,auStack_40,PTR_iter_print_group_appenders_80032f1c); | (*param_3)(param_2,*puVar1);	callback_arg_to_icall
80032f94	iter_print_group_appenders	gs_log_group_appender_iterate.arg3	80032e7a	iter_print_group		gs_log_group_appender_iterate	80033124	ICALL R5	(*(code *)PTR_gs_log_group_appender_iterate_80032f20) (param_2,auStack_40,PTR_iter_print_group_appenders_80032f1c); | (*param_3)(param_2,*puVar1);	callback_arg_to_icall
800330a0	iter_set_level_mask	gs_log_group_iterate.arg3	80033476	gs_log_group_set_level_mask		gs_log_group_iterate	8003339a	ICALL R2	uVar1 = (*(code *)PTR_gs_log_group_iterate_8003348c) (param_1,&stack0xffffffec,PTR_iter_set_level_mask_80033488); | (*param_3)(param_2,*piVar2);	callback_arg_to_icall
800330aa	iter_get_level_mask	gs_log_group_iterate.arg3	80033448	gs_log_group_get_level_mask		gs_log_group_iterate	8003339a	ICALL R2	uVar1 = (*(code *)PTR_gs_log_group_iterate_8003345c) (param_1,unaff_LR,PTR_iter_get_level_mask_80033458); | (*param_3)(param_2,*piVar2);	callback_arg_to_icall
800330cc	gs_log_history_iterator	gs_log_appender_iterate.arg3	8003334c	gs_log_appender_history_iterate		gs_log_appender_iterate	800332ba	ICALL R2	(*(code *)PTR_gs_log_appender_iterate_8003335c) (param_1,&uStack_c,PTR_gs_log_history_iterator_80033358); | (*param_3)(param_2,*piVar2);	callback_arg_to_icall
800330e4	iter_set_appender_level_mask	gs_log_appender_iterate.arg3	8003332a	gs_log_appender_set_level_mask		gs_log_appender_iterate	800332ba	ICALL R2	uVar1 = (*(code *)PTR_gs_log_appender_iterate_80033340) (param_1,&stack0xffffffec,PTR_iter_set_appender_level_mask_8003333c); | (*param_3)(param_2,*piVar2);	callback_arg_to_icall
800330ee	iter_get_appender_level_mask	gs_log_appender_iterate.arg3	800332fc	gs_log_appender_get_level_mask		gs_log_appender_iterate	800332ba	ICALL R2	uVar1 = (*(code *)PTR_gs_log_appender_iterate_80033310) (param_1,unaff_LR,PTR_iter_get_appender_level_mask_8003330c); | (*param_3)(param_2,*piVar2);	callback_arg_to_icall
800387f8	__sseek									no_usage_chain_found
